art_12_s001 | Jag älskar mat. | ['mat']
art_12_s002 | I många år har jag tyckt om att baka och laga goda rätter. | ['år', 'baka']
art_12_s003 | Min vän, som är en känd dramatiker, älskar mycket dramatik i köket. | ['mat', 'dramatik', 'dramatiker']
art_12_s004 | Efter att ha jobbat hela dagen var han hungrig som en varg. | ['Efter att ha', 'hungrig som en varg']
art_12_s005 | Han brukar säga att han gillar att äta som en häst när magen är tom. | ['att äta som en häst', 'tom']
art_12_s006 | Jag tänkte föreslå att vi kunde gå ut och äta. | ['gå ut och äta']
art_12_s007 | För en stund tänkte jag att vi skulle köpa hämtmat. | ['mat', 'För en stund', 'hämtmat']
art_12_s008 | Men hallen var trång och jag kände mig mentalt trött efter jobbet. | ['trång']
art_12_s009 | Vi valde att stanna hemma. | []
art_12_s010 | Istället för att… gå på restaurang, började vi laga lättlagad plockmat och skära upp varje grönsak samt frukt som äpple och banan. | ['mat', 'Istället för att…', 'restaurang', 'lättlagad', 'plockmat', 'grönsak', 'äpple', 'banan']
art_12_s011 | "Det är inte sant!" ropade min vän plötsligt. | ['Det är inte sant!']
art_12_s012 | En blodtörstig mygga hade gett honom ett getingstick. | ['blodtörstig', 'getingstick']
art_12_s013 | "En kommentar till," sa han, "och jag dör. | ['kommentar']
art_12_s014 | Jag känner mig obekväm och behöver mer kolhydrat. | ['obekväm', 'kolhydrat']
art_12_s015 | Jag vill inte vara kritisk, men jag måste äta." | ['kritisk']
art_12_s016 | Jag bad honom att provsmaka lite salamikorv. | ['provsmaka', 'salamikorv']
art_12_s017 | "Du måste äta ordentligt för att inte sakna föda," sa jag. | ['sakna', 'föda']
art_12_s018 | För att slippa ett misslyckande serverade jag rätten på en hög nivå. | ['misslyckande', 'nivå']
art_12_s019 | Doften av vitlök började sprida sig. | ['sprida sig']
art_12_s020 | Var och en fick en tallrik. | ['Var och en']
art_12_s021 | Vi ville dricka något gott. | ['dricka']
art_12_s022 | Jag drack kall läsk medan han tog en ljus öl. | ['läsk', 'öl']
art_12_s023 | Ibland blandar han en drink, kanske en stor paraplydrink, men nu drack vi utan mycket socker. | ['drink', 'paraplydrink', 'socker']
art_12_s024 | Vatten är annars bäst, för dricker man havsvatten blir man bara törstigare. | ['havsvatten', 'törstigare']
art_12_s025 | Jag kunde vara säker på att min vän var nöjd. | ['vara säker på']
art_12_s026 | Efter middagen undrade jag: "Ska vi ta en fika?" | ['Ska vi ta en fika?']
art_12_s027 | Jag ville hellre baka en kaka än att äta köpt godis eller smågodis. | ['hellre baka en kaka än', 'kaka', 'godis', 'smågodis']
art_12_s028 | Vi hade choklad hemma. | ['choklad']
art_12_s029 | Min vän ville dock bara ha en skål med lättyoghurt. | ['lättyoghurt']
art_12_s030 | Han tyckte att min mat för dagen var lite för dramatisk. | ['mat för dagen', 'dramatisk']
art_12_s031 | Vi talade om att odla bär och hur man brukade sylta och safta förr i tiden, eller liknande saker. | ['odla', 'sylta', 'safta', 'liknande']
art_12_s032 | Jag hoppas vi kan ses nästnästa vecka igen, innan all glädje hinner försvinna. | ['nästnästa', 'försvinna']
art_13_s001 | Jag är en riktig godisgris. | ['riktig', 'godisgris']
art_13_s002 | För tio år sedan fick jag ofta höra av min lärare att jag hade ett sockerberoende. | ['För tio år sedan', 'lärare', 'sockerberoende']
art_13_s003 | Då hade vi ofta dålig skolmat och det var alltid en brist på god mat och dryck. | ['skolmat', 'brist', 'mat och dryck']
art_13_s004 | Därför var jag alltid jättehungrig och fikasugen när skoldagen var slut. | ['jättehungrig', 'fikasugen']
art_13_s005 | Idag bor jag långt ut på landet, där vårt lokala klimat är bra för odling av sockerbetor. | ['långt ut på landet', 'klimat', 'odling']
art_13_s006 | Jag vet att bonden är stolt över sin sockerbeta. | ['sockerbeta']
art_13_s007 | Ibland måste jag ta kontakt med bönderna. | ['ta kontakt med']
art_13_s008 | Min vän, som var en känd sockerbagare, sa att gamla traditioner måste leva vidare. | ['sockerbagare', 'leva vidare']
art_13_s009 | Han brukade göra en massa fina saker, som en marsipantårta eller en liten pepparkaka full med söt karamell. | ['en massa', 'marsipantårta', 'tårta', 'pepparkaka', 'full med', 'söt', 'karamell']
art_13_s010 | Jag vet av andrahandsinformation att han en gång arbetade på en känd chokladfabrik. | ['andrahandsinformation', 'chokladfabrik']
art_13_s011 | Det lät som ett underligt men fantastiskt ställe! | ['underligt']
art_13_s012 | En dag kände jag att jag måste göra en paus i arbetet. | ['göra en paus']
art_13_s013 | Jag bestämde mig för att skaffa något gott till vår familjemiddag. | ['skaffa', 'familjemiddag']
art_13_s014 | Jag åkte till mitt smultronställe, en mysig godisbutik. | ['smultronställe', 'godisbutik']
art_13_s015 | Den såg annorlunda ut, nästan som en stor mataffär från en modern matvarukedja. | ['annorlunda', 'mataffär', 'matvarukedja']
art_13_s016 | "Du kan väl sätta dig en stund," sa ägaren. | ['väl', 'sätta dig']
art_13_s017 | Det kändes bra. | []
art_13_s018 | Jag gick omkring bland hyllorna medan jag tänkte på vad jag skulle välja. | ['väl', 'omkring', 'medan', 'tänkte på']
art_13_s019 | Jag ville ha något mer än bara frukt. | ['frukt']
art_13_s020 | Jag hittade en ny godissort, vilket var en liten geléfisk med härlig fruktsmak. | ['frukt', 'godissort', 'geléfisk', 'fruktsmak']
art_13_s021 | Jag hittade också en fin pralin, en stor chokladkaka och en påse med polkagris. | ['pralin', 'chokladkaka', 'polkagris']
art_13_s022 | Dessutom köpte jag lördagsgodis, lite plockgodis och en rolig tablettask till barnen. | ['lördagsgodis', 'plockgodis', 'tablettask']
art_13_s023 | Det fanns till och med en sötsak som en kokosboll och en god tårta. | ['sötsak', 'kokosboll']
art_13_s024 | Allt detta var så långt från en texmexprodukt som man kan komma. | ['så långt', 'texmexprodukt']
art_13_s025 | Morgonen efter njöt jag av alltihop som en lyxig hotellfrukost. | ['hotellfrukost']
art_13_s026 | Säg vad ni vill, jag vet att det kanske får mig att inte se klok ut, men jag är så glad över mina godsaker. | ['Säg', 'inte se klok ut']
art_13_s027 | Man måste sortera vad som är viktigt i livet, annars blir det tråkigt. | ['sortera', 'annars']
art_13_s028 | Ibland är det roligare att bara tugga på något gott. | ['tugga']
art_14_s001 | I Sverige kan en måltid ha ett speciellt tema. | ['måltid', 'tema']
art_14_s002 | Först och främst har vi fika. | ['Först och främst', 'fik', 'fika']
art_14_s003 | Att fika kan vara så enkelt som att dricka ett glas saft och äta en macka på ett litet fik. | ['fik', 'fika', 'saft', 'macka']
art_14_s004 | Vissa föredrar kall mjölk, medan andra tar ett glas vin till en sen middag. | ['mjölk', 'vin', 'middag']
art_14_s005 | "Det är fint?" frågade en vän från utlandet när hon såg min hemlagade mat. | ['Det är fint?', 'hemlagade']
art_14_s006 | En typisk svensk vardagsmat är kokt potatis och en köttbulle. | ['vardagsmat', 'kokt', 'potatis', 'köttbulle']
art_14_s007 | Man kan ha i lite krydda, till exempel kryddpeppar. | ['krydda', 'kryddpeppar']
art_14_s008 | "Men ni äter väl inte hästkött?" undrade hon. | ['hästkött']
art_14_s009 | "Jo, det är sant!" sa jag. | ['Jo, det är sant!']
art_14_s010 | Förr fanns inget förbud mot det, även om man var tvungen att äta vad som fanns, särskilt under en historisk oljekris. | ['förbud', 'tvungen att', 'oljekris']
art_14_s011 | Men hon slapp vara rädd för det nu. | ['vara rädd för']
art_14_s012 | Hon ville inte ge kritik, men tyckte idén var lite knäpp. | ['kritik', 'knäpp']
art_14_s013 | Jag lagade också palt, en gammal rätt bakad på vetemjöl och potatis. | ['potatis', 'palt', 'bakad på', 'vetemjöl']
