index,sv_word,old,new,sentence
0,vardag,everyday life,everyday lives,It is incredible to see how much modern technology can affect our lives and our everyday lives.
1,surfa,surfed,surfing,"Last night I sat surfing, and I found a lot of information online."
2,över,about,but,But have you ever wondered how everything inside the machine actually works?
3,för,for,famous,A very famous scientist worked many hundreds of years ago on observing and systematizing new knowledge.
4,duktig,skilled,looked,He was a really good astronomer who stood every evening and looked up at a beautiful starry sky.
5,för,for,other,Most are deeply interested in solving difficult problems to help each other in the best way.
6,av,of,to,Most are deeply interested in solving difficult problems to help each other in the best way.
7,stad,city/town,city,"""I have to know what is in the city,"" she thought and rented a practical room in the center."
8,gå,go,of,"But suddenly a bear came out of the forest and seemed to attack, although it was really just scared."
9,gå,go,,"""Bears usually hibernate in winter,"" the guide said and calmed us down."
10,resa,travels,travelling,"As a newcomer in a new city, she often felt lonely, so travelling gave her support."
11,landa,land,and,"First she would take a flight, have a layover, and then take a passenger ferry."
12,blunda,close eyes,Close your eyes,"""Close your eyes,"" she said when we listened to a local radio broadcast about travel."
13,man,one (generic pronoun),,"When talking about working life, many think of a good career."
14,tala,speak,,"When talking about working life, many think of a good career."
15,tänka,thought,to,At first I planned to become a bank manager and work in the large financial world.
16,tvungen,forced,order,"In order to perform at the highest level, they had to set a clear goal."
17,fet,fat,factory,The factory would manufacture an expensive luxury item and hoped that it would become a bestseller.
18,rätt,right,,"I was careful not to arrive late, but arrived exactly on time."
19,utbilda,educate,education,We had read a survey from the 18th century about how different groups of people could get an education.
20,bita,bite,it,It could almost make your head hurt from all the new rules and you sometimes felt like gritting your teeth.
21,god,delicious,dishes,For many years I have liked to bake and cook good dishes.
22,jobba,worked,working,After working all day he was hungry as a wolf.
23,mage,the stomach,his stomach,He usually says that he likes to eat like a horse when his stomach is empty.
24,varje,each,easy,"Instead of... going to a restaurant, we started making easy finger food and slicing up every vegetable as well as fruit like apple and banana."
25,måste,must,but,"I don't want to be critical, but I have to eat."""
26,doft,the smell,The scent,The scent of garlic began to spread.
27,slut,finished,fika when,Therefore I was always really hungry and craving a fika when the school day was over.
28,arbete,the work,work,One day I felt that I had to take a break from work.
29,all,everything,this,All this was as far from a Tex-Mex product as you can get.
30,godsak,treats,what,"Say what you want, I know it might make me look foolish, but I am so happy about my goodies."
31,mycket,a lot of,lots of,It is served with lots of butter and lingonberry jam.
32,börja,started,friend,"""On the one hand... on the other hand,"" my friend began, ""it is delicious, but you get a food coma."""
33,jättegod,very tasty,other hand,"""On the one hand... on the other hand,"" my friend began, ""it is delicious, but you get a food coma."""
34,trötthet,tiredness,"fatigue, we","So that she wouldn't be overcome by fatigue, we decided to go out."
35,hel,whole,"the past, it was important to be able to make jam and preserve food to have food throughout the","In the past, it was important to be able to make jam and preserve food to have food throughout the winter."
